date,description,amount,category
2024-04-18,Dish Network,-293.84,Utilities
2024-05-05,Spectrum,-45.82,Utilities
2024-05-17,Waste Management,-207.98,Utilities
2024-05-25,Phone Bill,-166.86,Utilities
2024-05-30,AT&T,-102.34,Utilities
2024-06-10,Xfinity,-160.83,Utilities
2024-06-15,Internet Provider,-247.91,Utilities
2024-07-02,AT&T,-230.07,Utilities
2024-07-13,Xfinity,-264.14,Utilities
2024-07-25,ConEd,-65.35,Utilities
2024-08-03,Gas Bill,-168.55,Utilities
2024-08-17,Cox Communications,-165.77,Utilities
2024-08-18,Spectrum,-144.05,Utilities
2024-08-20,Duke Energy,-268.73,Utilities
2024-10-06,Solar City,-127.76,Utilities
2024-10-07,Waste Management,-151.11,Utilities
2024-11-02,Cox Communications,-247.57,Utilities
2024-11-08,T-Mobile,-72.14,Utilities
2024-11-15,Spectrum,-64.37,Utilities
2024-12-02,Electric Company,-257.41,Utilities
2024-12-02,DirecTV,-74.8,Utilities
2024-12-07,Dish Network,-146.24,Utilities
2025-01-11,Duke Energy,-246.93,Utilities
2025-02-01,Xfinity,-107.46,Utilities
2025-02-10,Phone Bill,-74.72,Utilities
2025-02-15,Comcast,-286.15,Utilities
2025-03-06,PG&E,-78.52,Utilities
2025-03-17,Waste Management,-225.16,Utilities
2025-03-25,Verizon,-77.83,Utilities
2025-03-30,Dish Network,-96.78,Utilities
2025-03-30,Comcast,-99.89,Utilities
2025-04-03,Solar City,-200.98,Utilities
2025-03-28,Transfer to Savings,-0.0,Savings
2024-04-12,Dinner Service Sales,1459,Income
2024-04-12,Dinner Service Sales,1647,Income
2024-04-12,Dinner Service Sales,820,Income
2024-04-12,Dinner Service Sales,1390,Income
2024-04-12,Lunch Service Sales,418,Income
2024-04-12,Lunch Service Sales,659,Income
2024-04-12,Lunch Service Sales,1109,Income
2024-04-13,Dinner Service Sales,1412,Income
2024-04-13,Dinner Service Sales,1507,Income
2024-04-13,Dinner Service Sales,1789,Income
2024-04-13,Lunch Service Sales,839,Income
2024-04-13,Lunch Service Sales,1022,Income
2024-04-14,Dinner Service Sales,1055,Income
2024-04-14,Dinner Service Sales,1798,Income
2024-04-14,Dinner Service Sales,1015,Income
2024-04-14,Dinner Service Sales,1383,Income
2024-04-14,Dinner Service Sales,1555,Income
2024-04-14,Lunch Service Sales,768,Income
2024-04-14,Lunch Service Sales,774,Income
2024-04-14,Lunch Service Sales,853,Income
2024-04-15,Dinner Service Sales,1182,Income
2024-04-15,Dinner Service Sales,977,Income
2024-04-15,Lunch Service Sales,474,Income
2024-04-16,Dinner Service Sales,1072,Income
2024-04-16,Dinner Service Sales,828,Income
2024-04-16,Dinner Service Sales,1180,Income
2024-04-16,Lunch Service Sales,340,Income
2024-04-17,Dinner Service Sales,780,Income
2024-04-17,Dinner Service Sales,820,Income
2024-04-17,Lunch Service Sales,566,Income
2024-04-18,Dinner Service Sales,1018,Income
2024-04-18,Dinner Service Sales,623,Income
2024-04-18,Lunch Service Sales,460,Income
2024-04-18,Lunch Service Sales,358,Income
2024-04-19,Dinner Service Sales,1056,Income
2024-04-19,Dinner Service Sales,1229,Income
2024-04-19,Lunch Service Sales,566,Income
2024-04-19,Lunch Service Sales,826,Income
2024-04-20,Dinner Service Sales,983,Income
2024-04-20,Dinner Service Sales,1671,Income
2024-04-20,Dinner Service Sales,1028,Income
2024-04-20,Dinner Service Sales,1551,Income
2024-04-20,Lunch Service Sales,605,Income
2024-04-20,Lunch Service Sales,928,Income
2024-04-21,Dinner Service Sales,1084,Income
2024-04-21,Dinner Service Sales,1278,Income
2024-04-21,Dinner Service Sales,959,Income
2024-04-21,Lunch Service Sales,981,Income
2024-04-22,Dinner Service Sales,1062,Income
2024-04-22,Lunch Service Sales,571,Income
2024-04-22,Lunch Service Sales,591,Income
2024-04-23,Dinner Service Sales,1025,Income
2024-04-23,Lunch Service Sales,309,Income
2024-04-24,Dinner Service Sales,735,Income
2024-04-24,Dinner Service Sales,1101,Income
2024-04-24,Dinner Service Sales,673,Income
2024-04-24,Lunch Service Sales,530,Income
2024-04-24,Lunch Service Sales,358,Income
2024-04-25,Dinner Service Sales,508,Income
2024-04-25,Dinner Service Sales,899,Income
2024-04-25,Dinner Service Sales,1102,Income
2024-04-25,Lunch Service Sales,328,Income
2024-04-25,Lunch Service Sales,366,Income
2024-04-26,Dinner Service Sales,1028,Income
2024-04-26,Dinner Service Sales,1194,Income
