date,description,amount,category
2024-04-17,Rental Income,25962.36,Income
2024-04-19,Waste Management,-152.87,Utilities
2024-04-23,Xfinity,-110.74,Utilities
2024-05-01,Gift,24359.84,Income
2024-05-16,Cox Communications,-63.63,Utilities
2024-05-16,Freelance Payment,19832.58,Income
2024-07-13,Cox Communications,-103.94,Utilities
2024-07-15,Phone Bill,-51.21,Utilities
2024-07-23,Duke Energy,-223.48,Utilities
2024-08-13,Electric Company,-139.3,Utilities
2024-08-28,Phone Bill,-98.23,Utilities
2024-08-31,Solar City,-213.03,Utilities
2024-09-12,Solar City,-235.19,Utilities
2024-09-13,Internet Provider,-56.63,Utilities
2024-09-13,Phone Bill,-161.43,Utilities
2024-09-28,Duke Energy,-297.11,Utilities
2024-10-20,Phone Bill,-75.74,Utilities
2024-10-23,Comcast,-270.63,Utilities
2024-11-08,AT&T,-96.88,Utilities
2024-12-01,Spectrum,-196.28,Utilities
2024-12-08,Duke Energy,-87.22,Utilities
2024-12-10,PG&E,-158.23,Utilities
2025-02-10,DirecTV,-46.35,Utilities
2025-02-17,Water Service,-281.74,Utilities
2025-02-26,Cox Communications,-265.43,Utilities
2025-03-10,Solar City,-82.02,Utilities
2025-03-17,Dish Network,-154.56,Utilities
2025-03-24,Transfer to Savings,-7015.48,Savings
2024-04-12,Store Sales,1017,Income
2024-04-12,Store Sales,711,Income
2024-04-12,Store Sales,949,Income
2024-04-13,Store Sales,1441,Income
2024-04-13,Store Sales,1147,Income
2024-04-13,Store Sales,890,Income
2024-04-14,Store Sales,664,Income
2024-04-14,Store Sales,929,Income
2024-04-14,Store Sales,613,Income
2024-04-15,Store Sales,749,Income
2024-04-15,Store Sales,864,Income
2024-04-15,Store Sales,1066,Income
2024-04-16,Store Sales,1031,Income
2024-04-16,Store Sales,954,Income
2024-04-16,Store Sales,458,Income
2024-04-17,Store Sales,751,Income
2024-04-17,Store Sales,386,Income
2024-04-17,Store Sales,598,Income
2024-04-18,Store Sales,542,Income
2024-04-18,Store Sales,1032,Income
2024-04-18,Store Sales,301,Income
2024-04-19,Store Sales,889,Income
2024-04-19,Store Sales,425,Income
2024-04-19,Store Sales,1128,Income
2024-04-20,Store Sales,452,Income
2024-04-20,Store Sales,1352,Income
2024-04-20,Store Sales,955,Income
2024-04-21,Store Sales,1437,Income
2024-04-21,Store Sales,432,Income
2024-04-21,Store Sales,1241,Income
2024-04-22,Store Sales,670,Income
2024-04-22,Store Sales,1077,Income
2024-04-22,Store Sales,640,Income
2024-04-23,Store Sales,1042,Income
2024-04-23,Store Sales,638,Income
2024-04-23,Store Sales,909,Income
2024-04-24,Store Sales,324,Income
2024-04-24,Store Sales,671,Income
2024-04-24,Store Sales,892,Income
2024-04-25,Store Sales,608,Income
2024-04-25,Store Sales,952,Income
2024-04-25,Store Sales,810,Income
2024-04-26,Store Sales,872,Income
2024-04-26,Store Sales,837,Income
2024-04-26,Store Sales,562,Income
2024-04-27,Store Sales,1293,Income
2024-04-27,Store Sales,845,Income
2024-04-27,Store Sales,1332,Income
2024-04-28,Store Sales,1495,Income
2024-04-28,Store Sales,1374,Income
2024-04-28,Store Sales,440,Income
2024-04-29,Store Sales,500,Income
2024-04-29,Store Sales,938,Income
2024-04-29,Store Sales,850,Income
2024-04-30,Store Sales,671,Income
2024-04-30,Store Sales,418,Income
2024-04-30,Store Sales,717,Income
2024-05-01,Store Sales,619,Income
2024-05-01,Store Sales,977,Income
2024-05-01,Store Sales,1191,Income
2024-05-02,Store Sales,1126,Income
2024-05-02,Store Sales,553,Income
2024-05-02,Store Sales,319,Income
2024-05-03,Store Sales,1074,Income
2024-05-03,Store Sales,797,Income
2024-05-03,Store Sales,422,Income
2024-05-04,Store Sales,569,Income
2024-05-04,Store Sales,1102,Income
2024-05-04,Store Sales,858,Income
2024-05-05,Store Sales,1394,Income
2024-05-05,Store Sales,835,Income
2024-05-05,Store Sales,644,Income
2024-05-06,Store Sales,548,Income
2024-05-06,Store Sales,694,Income
2024-05-06,Store Sales,376,Income
2024-05-07,Store Sales,414,Income
2024-05-07,Store Sales,1098,Income
2024-05-07,Store Sales,746,Income
2024-05-08,Store Sales,978,Income
2024-05-08,Store Sales,390,Income
2024-05-08,Store Sales,853,Income
2024-05-09,Store Sales,1149,Income
2024-05-09,Store Sales,506,Income
2024-05-09,Store Sales,403,Income
2024-05-10,Store Sales,397,Income
2024-05-10,Store Sales,621,Income
2024-05-10,Store Sales,985,Income
2024-05-11,Store Sales,1056,Income
2024-05-11,Store Sales,912,Income
2024-05-11,Store Sales,505,Income
2024-05-12,Store Sales,560,Income
2024-05-12,Store Sales,1332,Income
2024-05-12,Store Sales,618,Income
2024-05-13,Store Sales,506,Income
2024-05-13,Store Sales,1130,Income
2024-05-13,Store Sales,364,Income
2024-05-14,Store Sales,1064,Income
2024-05-14,Store Sales,704,Income
2024-05-14,Store Sales,512,Income
2024-05-15,Store Sales,733,Income
2024-05-15,Store Sales,328,Income
2024-05-15,Store Sales,769,Income
2024-05-16,Store Sales,792,Income
2024-05-16,Store Sales,369,Income
2024-05-16,Store Sales,359,Income
2024-05-17,Store Sales,491,Income
2024-05-17,Store Sales,1076,Income
2024-05-17,Store Sales,843,Income
2024-05-18,Store Sales,804,Income
2024-05-18,Store Sales,1032,Income
2024-05-18,Store Sales,803,Income
2024-05-19,Store Sales,1138,Income
2024-05-19,Store Sales,975,Income
2024-05-19,Store Sales,527,Income
2024-05-20,Store Sales,372,Income
2024-05-20,Store Sales,941,Income
2024-05-20,Store Sales,717,Income
2024-05-21,Store Sales,685,Income
2024-05-21,Store Sales,334,Income
2024-05-21,Store Sales,456,Income
2024-05-22,Store Sales,701,Income
2024-05-22,Store Sales,812,Income
2024-05-22,Store Sales,323,Income
2024-05-23,Store Sales,324,Income
2024-05-23,Store Sales,511,Income
2024-05-23,Store Sales,1033,Income
2024-05-24,Store Sales,1065,Income
2024-05-24,Store Sales,919,Income
2024-05-24,Store Sales,463,Income
2024-05-25,Store Sales,605,Income
2024-05-25,Store Sales,517,Income
2024-05-25,Store Sales,773,Income
2024-05-25,Special Promotion Sales,1175,Income
2024-05-26,Store Sales,400,Income
2024-05-26,Store Sales,578,Income
2024-05-26,Store Sales,1111,Income
2024-05-27,Store Sales,406,Income
2024-05-27,Store Sales,951,Income
2024-05-27,Store Sales,462,Income
2024-05-28,Store Sales,625,Income
2024-05-28,Store Sales,468,Income
2024-05-28,Store Sales,309,Income
2024-05-29,Store Sales,389,Income
2024-05-29,Store Sales,1179,Income
2024-05-29,Store Sales,832,Income
2024-05-30,Store Sales,962,Income
2024-05-30,Store Sales,927,Income
2024-05-30,Store Sales,1075,Income
2024-05-31,Store Sales,638,Income
2024-05-31,Store Sales,464,Income
2024-05-31,Store Sales,1128,Income
2024-06-01,Store Sales,1496,Income
2024-06-01,Store Sales,1572,Income
2024-06-01,Store Sales,1232,Income
2024-06-01,Store Sales,519,Income
2024-06-01,Special Promotion Sales,2044,Income
2024-06-02,Store Sales,968,Income
2024-06-02,Store Sales,536,Income
2024-06-02,Store Sales,1230,Income
2024-06-02,Store Sales,1634,Income
2024-06-03,Store Sales,1176,Income
2024-06-03,Store Sales,562,Income
2024-06-03,Store Sales,1176,Income
2024-06-04,Store Sales,1290,Income
2024-06-04,Store Sales,483,Income
2024-06-04,Store Sales,750,Income
2024-06-05,Store Sales,920,Income
2024-06-05,Store Sales,812,Income
2024-06-05,Store Sales,1316,Income
2024-06-06,Store Sales,1159,Income
2024-06-06,Store Sales,969,Income
2024-06-06,Store Sales,738,Income
2024-06-06,Special Promotion Sales,1855,Income
2024-06-07,Store Sales,609,Income
2024-06-07,Store Sales,787,Income
2024-06-07,Store Sales,667,Income
2024-06-08,Store Sales,979,Income
2024-06-08,Store Sales,528,Income
2024-06-08,Store Sales,1427,Income
2024-06-08,Store Sales,1282,Income
2024-06-09,Store Sales,1363,Income
2024-06-09,Store Sales,633,Income
2024-06-09,Store Sales,1360,Income
2024-06-09,Store Sales,854,Income
2024-06-10,Store Sales,553,Income
2024-06-10,Store Sales,765,Income
2024-06-10,Store Sales,942,Income
2024-06-11,Store Sales,512,Income
2024-06-11,Store Sales,1194,Income
2024-06-11,Store Sales,818,Income
2024-06-12,Store Sales,1383,Income
2024-06-12,Store Sales,1150,Income
2024-06-12,Store Sales,1071,Income
2024-06-13,Store Sales,1404,Income
2024-06-13,Store Sales,1324,Income
2024-06-13,Store Sales,1246,Income
2024-06-14,Store Sales,1243,Income
2024-06-14,Store Sales,518,Income
2024-06-14,Store Sales,1180,Income
2024-06-15,Store Sales,1199,Income
2024-06-15,Store Sales,1132,Income
2024-06-15,Store Sales,772,Income
2024-06-15,Store Sales,1544,Income
2024-06-16,Store Sales,887,Income
2024-06-16,Store Sales,1062,Income
2024-06-16,Store Sales,499,Income
2024-06-16,Store Sales,1706,Income
2024-06-16,Special Promotion Sales,2445,Income
2024-06-17,Store Sales,1178,Income
2024-06-17,Store Sales,1246,Income
