Date,Description,Amount
2025-03-01,Paycheck from XYZ Company,3500.00
2025-03-02,Rent Payment,-1800.00
2025-03-03,Grocery Store,-125.67
2025-03-05,Gas Station,-45.23
2025-03-07,Netflix Subscription,-15.99
2025-03-08,Restaurant Dinner,-78.45
2025-03-10,Amazon Purchase,-67.89
2025-03-12,Pharmacy,-32.50
2025-03-15,Paycheck from XYZ Company,3500.00
2025-03-15,Electric Bill,-95.67
2025-03-16,Mobile Phone Bill,-85.00
2025-03-18,Coffee Shop,-4.75
2025-03-19,Uber Ride,-22.50
2025-03-20,Grocery Store,-142.35
2025-03-22,Movie Theater Tickets,-32.00
2025-03-23,Target Shopping,-87.65
2025-03-25,Internet Bill,-75.00
2025-03-26,Gas Station,-48.75
2025-03-27,Restaurant Lunch,-24.50
2025-03-28,Spotify Subscription,-9.99
2025-03-30,Paycheck from XYZ Company,3500.00
2025-03-30,Gym Membership,-45.00
2025-03-31,Grocery Store,-98.45
2025-04-01,Rent Payment,-1800.00
2025-04-02,Amazon Prime Subscription,-14.99
2025-04-03,Grocery Store,-115.78
2025-04-05,Gas Station,-42.50
2025-04-07,Netflix Subscription,-15.99
2025-04-08,Restaurant Dinner,-92.67
2025-04-10,Walmart Shopping,-124.56
2025-04-12,Pharmacy,-28.90
