date,description,amount,category
2024-04-18,Under Armour,-88.62,Fitness
2024-04-20,ETF Purchase,-1657.73,Investments
2024-04-22,United Airlines,-306.16,Travel
2024-04-22,Travelocity,-142.13,Travel
2024-04-23,Chevron,-163.44,Transportation
2024-04-23,Taxi Service,-93.45,Transportation
2024-04-25,Meijer,-111.13,Groceries
2024-04-25,Dish Network,-131.68,Utilities
2024-04-25,Patreon,-10.08,Subscriptions
2024-04-26,Wayfair,-136.9,Shopping
2024-04-27,Wegmans,-60.77,Groceries
2024-04-29,American Airlines,-844.68,Travel
2024-04-30,Audible,-27.86,Subscriptions
2024-05-01,KFC,-19.52,Dining
2024-05-03,In-N-Out Burger,-45.75,Dining
2024-05-03,Panda Express,-23.83,Dining
2024-05-03,Gas Station,-206.68,Transportation
2024-05-03,Travel Insurance,-535.06,Travel
2024-05-07,Chick-fil-A,-56.73,Dining
2024-05-08,IRA Contribution,-759.02,Investments
2024-05-09,BP,-188.15,Transportation
2024-05-11,TJ Maxx,-155.33,Shopping
2024-05-11,Personal Trainer,-71.25,Fitness
2024-05-11,Bond Purchase,-1009.26,Investments
2024-05-14,Sprouts,-127.7,Groceries
2024-05-14,Supplement Store,-44.67,Fitness
2024-05-14,Adidas,-63.97,Fitness
2024-05-15,Bed Bath & Beyond,-244.85,Shopping
2024-05-16,HOA Fees,-2425.33,Housing
2024-05-17,Applebee's,-61.39,Dining
2024-05-17,Expedia,-617.67,Travel
2024-05-18,Sephora,-83.11,Shopping
2024-05-18,Taxi Service,-106.88,Transportation
2024-05-18,Property Tax,-3342.77,Housing
2024-05-19,Grammarly,-47.93,Subscriptions
2024-05-20,In-N-Out Burger,-15.36,Dining
2024-05-23,Pizza Hut,-52.9,Dining
2024-05-23,Lowe's,-127.64,Shopping
2024-05-23,Apple TV+,-64.08,Entertainment
2024-05-24,Workout Classes,-26.38,Fitness
2024-05-25,Walmart,-133.39,Shopping
2024-05-26,Spectrum,-191.21,Utilities
2024-05-31,KFC,-26.61,Dining
2024-05-31,TJ Maxx,-35.1,Shopping
2024-06-02,Grammarly,-15.63,Subscriptions
2024-06-03,Concert Tickets,-148.35,Entertainment
2024-06-03,BP,-249.1,Transportation
2024-06-03,401(k) Contribution,-1923.1,Investments
2024-06-03,Betterment,-1904.75,Investments
2024-06-05,Rental Insurance,-1644.82,Housing
2024-06-06,Mutual Fund,-1158.86,Investments
2024-06-07,Acorns,-236.76,Investments
2024-06-08,KFC,-74.66,Dining
2024-06-08,Walmart,-11.56,Shopping
2024-06-08,Amazon,-134.29,Shopping
2024-06-08,Under Armour,-137.97,Fitness
2024-06-11,Marriott,-569.62,Travel
2024-06-12,Hulu,-10.57,Entertainment
2024-06-13,Trader Joe's,-78.96,Groceries
2024-06-14,Travelocity,-1637.59,Travel
2024-06-14,American Airlines,-643.9,Travel
2024-06-15,Burger King,-55.7,Dining
2024-06-15,Lowe's,-135.99,Shopping
2024-06-16,Booking.com,-355.14,Travel
2024-06-17,Home Insurance,-1901.62,Housing
2024-06-18,Macy's,-146.85,Shopping
2024-06-18,Netflix,-119.27,Entertainment
2024-06-19,YouTube Premium,-89.04,Entertainment
2024-06-23,Pizza Hut,-38.57,Dining
2024-06-26,Uber,-125.32,Transportation
2024-06-28,Spectrum,-152.85,Utilities
2024-06-28,Workout Classes,-19.09,Fitness
2024-06-29,Local Restaurant,-10.17,Dining
2024-06-29,Bowling Alley,-138.65,Entertainment
2024-06-29,Cleaning Service,-2684.89,Housing
2024-06-30,Costco,-29.71,Groceries
2024-06-30,Wayfair,-57.26,Shopping
2024-06-30,BP,-161.35,Transportation
2024-07-01,Paramount+,-29.64,Entertainment
2024-07-01,Resort Fees,-1238.7,Travel
2024-07-03,McDonald's,-71.57,Dining
2024-07-03,Home Insurance,-1415.45,Housing
2024-07-03,Delta Airlines,-225.78,Travel
2024-07-04,Apple Music,-141.95,Entertainment
2024-07-05,Airline Tickets,-87.53,Transportation
2024-07-06,Patreon,-24.42,Subscriptions
2024-07-08,Save-A-Lot,-82.96,Groceries
2024-07-10,Apple Music,-120.85,Entertainment
2024-07-10,New York Times,-36.69,Subscriptions
2024-07-11,Marshalls,-185.42,Shopping
2024-07-11,Home Warranty,-943.15,Housing
2024-07-12,Subway,-61.93,Dining
2024-07-12,Peloton,-178.8,Fitness
2024-07-13,Robinhood,-1614.12,Investments
2024-07-17,United Airlines,-1581.99,Travel
2024-07-18,Trader Joe's,-186.34,Groceries
2024-07-19,Enterprise Rent-A-Car,-159.96,Transportation
2024-07-19,Hilton,-1096.04,Travel
2024-07-19,Booking.com,-1838.36,Travel
2024-07-20,Pizza Hut,-11.33,Dining
2024-07-20,Phone Bill,-69.65,Utilities
2024-07-21,KFC,-42.31,Dining
2024-07-21,ETF Purchase,-1649.64,Investments
2024-07-22,Gap,-128.81,Shopping
2024-07-23,Bond Purchase,-988.29,Investments
2024-07-28,Local Restaurant,-51.37,Dining
2024-07-28,Dunkin' Donuts,-23.19,Dining
2024-07-28,iCloud Storage,-12.73,Subscriptions
2024-07-28,Travel Insurance,-968.02,Travel
2024-07-29,Chipotle,-17.77,Dining
2024-07-29,Vanguard,-683.01,Investments
2024-07-29,Morgan Stanley,-1383.79,Investments
2024-07-30,Security Deposit,-2519.46,Housing
2024-08-01,Etsy,-292.7,Shopping
2024-08-02,United Airlines,-391.13,Travel
2024-08-04,Five Guys,-12.36,Dining
2024-08-06,IKEA,-272.3,Shopping
2024-08-06,Adobe Creative Cloud,-23.35,Subscriptions
2024-08-06,Charles Schwab,-120.87,Investments
2024-08-07,Hilton,-426.31,Travel
2024-08-08,Kindle Unlimited,-27.9,Subscriptions
2024-08-10,McDonald's,-19.23,Dining
2024-08-11,Michaels,-135.51,Shopping
2024-08-11,Apple Music,-70.46,Entertainment
2024-08-15,Panda Express,-11.92,Dining
2024-08-15,eBay,-136.17,Shopping
2024-08-16,YouTube Premium,-115.83,Entertainment
2024-08-17,ShopRite,-84.3,Groceries
2024-08-18,Marriott,-1572.65,Travel
2024-08-19,Old Navy,-116.32,Shopping
2024-08-21,Taco Bell,-18.21,Dining
2024-08-21,Expedia,-1410.7,Travel
2024-08-22,Home Insurance,-940.05,Housing
2024-08-22,Hilton,-798.05,Travel
2024-08-23,HOA Fees,-2199.41,Housing
2024-08-25,Wegmans,-162.02,Groceries
2024-08-26,Travel Insurance,-235.89,Travel
2024-08-27,Wegmans,-15.35,Groceries
2024-08-27,Planet Fitness,-39.55,Fitness
2024-08-28,Five Guys,-60.69,Dining
2024-08-28,Hilton,-185.95,Travel
2024-08-29,Home Depot,-46.9,Shopping
2024-08-29,Rent Payment,-3412.04,Housing
2024-08-30,Burger King,-29.5,Dining
2024-08-30,IKEA,-94.78,Shopping
2024-08-30,Vacation Rental,-1872.89,Travel
2024-08-30,Vanguard,-1505.0,Investments
2024-08-30,Coinbase,-1430.73,Investments
2024-08-31,Gap,-26.76,Shopping
2024-09-01,Supplement Store,-31.02,Fitness
2024-09-01,Lululemon,-53.02,Fitness
2024-09-02,Amazon,-285.22,Shopping
2024-09-03,Hertz,-178.45,Transportation
2024-09-04,Safeway,-21.01,Groceries
2024-09-05,Home Depot,-285.75,Shopping
2024-09-05,Paramount+,-76.13,Entertainment
2024-09-06,Wendy's,-63.65,Dining
2024-09-06,Coinbase,-1530.64,Investments
2024-09-07,Panera Bread,-45.03,Dining
2024-09-07,Mortgage,-1569.15,Housing
2024-09-08,401(k) Contribution,-1715.71,Investments
2024-09-09,Dave & Buster's,-57.54,Entertainment
2024-09-10,Starbucks,-52.96,Dining
2024-09-11,Walmart,-74.26,Shopping
2024-09-11,ETF Purchase,-131.78,Investments
2024-09-12,Planet Fitness,-152.69,Fitness
2024-09-13,LastPass,-21.44,Subscriptions
2024-09-17,HOA Fees,-1628.96,Housing
2024-09-17,401(k) Contribution,-1072.64,Investments
2024-09-19,Ulta Beauty,-242.83,Shopping
2024-09-20,Food Lion,-173.82,Groceries
2024-09-20,YouTube Premium,-86.81,Entertainment
2024-09-21,H-E-B,-15.32,Groceries
2024-09-22,Save-A-Lot,-166.7,Groceries
2024-09-22,Burger King,-33.82,Dining
2024-09-22,Nordstrom,-242.41,Shopping
2024-09-23,Amazon Prime,-146.38,Entertainment
2024-09-24,H-E-B,-147.42,Groceries
2024-09-24,Vanguard,-909.25,Investments
2024-09-25,Aldi,-16.32,Groceries
2024-09-27,KFC,-25.06,Dining
2024-09-27,AutoZone,-163.59,Transportation
2024-09-27,NordVPN,-39.14,Subscriptions
2024-09-28,Pizza Hut,-55.77,Dining
2024-09-28,Marshalls,-211.08,Shopping
2024-09-30,Resort Fees,-1327.8,Travel
2024-10-03,Albertsons,-126.86,Groceries
2024-10-04,Walmart,-270.26,Shopping
2024-10-05,Walmart,-128.1,Shopping
2024-10-05,HBO Max,-31.61,Entertainment
2024-10-06,VRBO,-902.24,Travel
