date,description,amount,category
2024-04-17,Walmart,-108.36,Shopping
2024-04-17,Stock Purchase,-1086.86,Investments
2024-04-20,Aldi,-96.1,Groceries
2024-04-20,Five Guys,-48.21,Dining
2024-04-20,Gas Station,-117.93,Transportation
2024-04-21,IKEA,-41.68,Shopping
2024-04-21,Home Warranty,-3177.28,Housing
2024-04-26,Health Insurance,-192.43,Healthcare
2024-04-29,Marshalls,-71.83,Shopping
2024-05-03,Best Buy,-257.19,Shopping
2024-05-03,Planet Fitness,-98.55,Fitness
2024-05-06,Local Restaurant,-37.92,Dining
2024-05-10,PG&E,-156.66,Utilities
2024-05-11,Investment Contribution,-1617.07,Investments
2024-05-17,Cruise Line,-879.27,Travel
2024-05-20,Paramount+,-60.19,Entertainment
2024-05-20,Exxon,-66.12,Transportation
2024-05-20,UnitedHealthcare,-149.8,Healthcare
2024-05-21,Urgent Care,-351.17,Healthcare
2024-05-27,Subway,-31.03,Dining
2024-05-28,Gas Bill,-254.7,Utilities
2024-06-01,H-E-B,-191.64,Groceries
2024-06-01,Car Wash,-75.06,Transportation
2024-06-01,Marriott,-932.69,Travel
2024-06-01,Southwest Airlines,-1425.28,Travel
2024-06-06,Chipotle,-42.16,Dining
2024-06-11,Gym Membership,-103.02,Fitness
2024-06-13,Panera Bread,-38.16,Dining
2024-06-13,ETF Purchase,-313.41,Investments
2024-06-16,Bed Bath & Beyond,-134.42,Shopping
2024-06-16,AMC Theaters,-122.12,Entertainment
2024-06-18,Hotels.com,-439.19,Travel
2024-06-19,ShopRite,-93.85,Groceries
2024-06-20,Kroger,-188.66,Groceries
2024-06-20,LA Fitness,-42.88,Fitness
2024-06-24,Pizza Hut,-22.45,Dining
2024-06-24,Solar City,-156.47,Utilities
2024-06-25,Local Restaurant,-54.5,Dining
2024-06-28,Spotify,-137.2,Entertainment
2024-06-28,YouTube Premium,-82.75,Entertainment
2024-06-29,Cigna,-288.95,Healthcare
2024-06-29,Adidas,-86.66,Fitness
2024-07-01,Spectrum,-129.12,Utilities
2024-07-03,Cleaning Service,-3271.19,Housing
2024-07-06,Netflix,-103.59,Entertainment
2024-07-06,Blue Cross,-274.2,Healthcare
2024-07-06,Personal Trainer,-96.65,Fitness
2024-07-06,E*TRADE,-251.8,Investments
2024-07-07,Phone Bill,-132.86,Utilities
2024-07-08,Safeway,-89.42,Groceries
2024-07-08,Peacock,-64.53,Entertainment
2024-07-09,Dish Network,-210.43,Utilities
2024-07-09,Laboratory Services,-365.2,Healthcare
2024-07-09,CVS,-227.76,Healthcare
2024-07-10,Amazon Prime,-79.29,Entertainment
2024-07-10,Gym Membership,-99.7,Fitness
2024-07-11,Enterprise Rent-A-Car,-72.9,Transportation
2024-07-11,Xfinity,-163.69,Utilities
2024-07-12,AutoZone,-51.77,Transportation
2024-07-13,Travelocity,-663.7,Travel
2024-07-14,Blue Cross,-186.16,Healthcare
2024-07-15,Betterment,-1647.1,Investments
2024-07-15,Fidelity,-918.61,Investments
2024-07-18,Marshalls,-163.67,Shopping
2024-07-19,Cigna,-29.89,Healthcare
2024-07-19,Merrill Lynch,-886.18,Investments
2024-07-21,Publix,-35.38,Groceries
