date,description,amount,category
2024-04-18,Moving Service,-826.93,Housing
2024-04-18,McGraw-Hill,-592.65,Education
2024-04-18,United Airlines,-275.76,Travel
2024-04-19,Aldi,-68.66,Groceries
2024-04-19,Domino's Pizza,-68.89,Dining
2024-04-19,Bed Bath & Beyond,-299.8,Shopping
2024-04-21,Domino's Pizza,-17.86,Dining
2024-04-22,CVS,-410.43,Healthcare
2024-04-22,edX,-955.7,Education
2024-04-24,Target,-286.1,Shopping
2024-04-24,Mental Health Services,-248.92,Healthcare
2024-04-25,Subway,-20.24,Dining
2024-04-25,Rental Insurance,-2343.71,Housing
2024-04-26,Starbucks,-61.09,Dining
2024-04-27,Dunkin' Donuts,-38.82,Dining
2024-05-01,Apartment Management,-2213.31,Housing
2024-05-01,Coursera,-157.11,Education
2024-05-02,H-E-B,-157.31,Groceries
2024-05-02,Educational Software,-358.42,Education
2024-05-04,Aldi,-118.91,Groceries
2024-05-04,TJ Maxx,-224.35,Shopping
2024-05-05,Regal Cinemas,-52.02,Entertainment
2024-05-06,Wayfair,-49.95,Shopping
2024-05-07,Chipotle,-72.7,Dining
2024-05-07,Skillshare,-115.87,Education
2024-05-09,Rite Aid,-57.36,Healthcare
2024-05-09,Athleta,-103.45,Fitness
2024-05-09,VRBO,-1065.43,Travel
2024-05-10,Whole Foods,-178.0,Groceries
2024-05-10,Aetna,-398.59,Healthcare
2024-05-10,Adidas,-54.81,Fitness
2024-05-10,Hilton,-1022.6,Travel
2024-05-11,Panda Express,-30.0,Dining
2024-05-12,Gas Station,-245.22,Transportation
2024-05-13,TJ Maxx,-172.43,Shopping
2024-05-15,Ulta Beauty,-76.88,Shopping
2024-05-15,Moving Service,-2896.97,Housing
2024-05-16,Sephora,-111.23,Shopping
2024-05-16,Lyft,-164.34,Transportation
2024-05-16,Travel Insurance,-1688.83,Travel
2024-05-17,LastPass,-47.92,Subscriptions
2024-05-19,Costco,-73.47,Groceries
2024-05-19,Chevron,-232.75,Transportation
2024-05-20,Albertsons,-153.48,Groceries
2024-05-20,YouTube Premium,-116.55,Entertainment
2024-05-20,Netflix,-144.39,Entertainment
2024-05-21,Movie Theater,-26.4,Entertainment
2024-05-21,LA Fitness,-103.07,Fitness
2024-05-22,Taxi Service,-37.6,Transportation
2024-05-22,Khan Academy,-634.58,Education
2024-05-22,Resort Fees,-197.99,Travel
2024-05-23,H-E-B,-15.02,Groceries
2024-05-23,Waste Management,-121.96,Utilities
2024-05-23,UnitedHealthcare,-267.79,Healthcare
2024-05-23,Educational Software,-358.93,Education
2024-05-25,Chipotle,-29.1,Dining
2024-05-25,Furniture Rental,-3256.74,Housing
2024-05-27,Substack,-33.58,Subscriptions
2024-05-28,Midas,-162.65,Transportation
2024-05-29,Amazon,-259.54,Shopping
2024-05-29,Urgent Care,-181.46,Healthcare
2024-05-30,MasterClass,-114.71,Education
2024-05-31,Car Repair,-167.57,Transportation
2024-06-01,Save-A-Lot,-29.35,Groceries
2024-06-01,KFC,-25.47,Dining
2024-06-02,Albertsons,-132.88,Groceries
2024-06-02,Michaels,-97.51,Shopping
2024-06-02,YouTube Premium,-141.18,Entertainment
2024-06-03,Food Lion,-141.69,Groceries
2024-06-03,Starbucks,-49.16,Dining
2024-06-03,Khan Academy,-330.46,Education
2024-06-05,Save-A-Lot,-17.38,Groceries
2024-06-05,Safeway,-116.95,Groceries
2024-06-05,Costco,-45.29,Groceries
2024-06-05,Electric Company,-120.44,Utilities
2024-06-06,Taco Bell,-60.68,Dining
2024-06-08,McDonald's,-11.55,Dining
2024-06-08,Gap,-256.4,Shopping
2024-06-08,Hobby Lobby,-161.94,Shopping
2024-06-08,Paramount+,-49.46,Entertainment
2024-06-08,Pest Control,-1754.33,Housing
2024-06-09,McGraw-Hill,-388.38,Education
2024-06-10,Kroger,-16.69,Groceries
2024-06-10,Khan Academy,-861.1,Education
2024-06-12,Etsy,-238.62,Shopping
2024-06-12,Amazon Prime,-104.05,Entertainment
2024-06-12,Paramount+,-60.84,Entertainment
2024-06-14,Save-A-Lot,-187.99,Groceries
2024-06-14,Midas,-174.8,Transportation
2024-06-14,ConEd,-159.19,Utilities
2024-06-15,Starbucks,-45.94,Dining
2024-06-15,Concert Tickets,-124.28,Entertainment
2024-06-15,Avis,-190.72,Transportation
2024-06-16,Storage Unit,-3241.22,Housing
2024-06-17,Public Transit,-224.01,Transportation
2024-06-17,HOA Fees,-2280.82,Housing
2024-06-18,Movie Theater,-14.24,Entertainment
2024-06-19,H-E-B,-118.19,Groceries
2024-06-19,Uber,-73.72,Transportation
2024-06-19,Student Loans,-417.11,Education
2024-06-22,Trader Joe's,-77.25,Groceries
2024-06-22,Uber,-96.71,Transportation
2024-06-22,Rite Aid,-496.63,Healthcare
2024-06-22,Tutoring Services,-449.6,Education
2024-06-22,Lululemon,-152.93,Fitness
2024-06-22,Wall Street Journal,-8.08,Subscriptions
2024-06-23,Starbucks,-10.59,Dining
2024-06-23,Lowe's,-246.1,Shopping
2024-06-23,Amtrak,-89.91,Transportation
2024-06-23,Internet Provider,-220.83,Utilities
2024-06-25,Food Lion,-148.33,Groceries
2024-06-25,Kroger,-133.78,Groceries
2024-06-26,Save-A-Lot,-83.9,Groceries
2024-06-26,AMC Theaters,-103.5,Entertainment
2024-06-26,School Supplies,-409.37,Education
2024-06-27,Fitness Equipment,-85.38,Fitness
2024-06-28,Save-A-Lot,-73.0,Groceries
