date,description,amount,category
2024-04-21,Dunkin' Donuts,-29.26,Dining
2024-04-22,UnitedHealthcare,-392.61,Healthcare
2024-04-23,Tutoring Services,-516.95,Education
2024-04-24,Dave & Buster's,-121.12,Entertainment
2024-04-24,AMC Theaters,-60.6,Entertainment
2024-04-24,Laboratory Services,-457.11,Healthcare
2024-04-27,Car Repair,-207.67,Transportation
2024-04-27,Home Warranty,-2513.9,Housing
2024-04-29,Trader Joe's,-57.44,Groceries
2024-04-29,Kohl's,-126.28,Shopping
2024-05-03,Kayak,-902.46,Travel
2024-05-04,eBay,-266.08,Shopping
2024-05-05,Tidal,-83.71,Entertainment
2024-05-05,Pearson,-207.86,Education
2024-05-07,Airbnb,-834.04,Travel
2024-05-10,Tuition Payment,-181.03,Education
2024-05-10,Textbooks,-799.01,Education
2024-05-11,ShopRite,-88.46,Groceries
2024-05-11,Health Insurance,-36.91,Healthcare
2024-05-11,Laboratory Services,-212.32,Healthcare
2024-05-11,Skillshare,-62.26,Education
2024-05-12,Khan Academy,-209.67,Education
2024-05-12,Medium,-34.17,Subscriptions
2024-05-16,AutoZone,-242.01,Transportation
2024-05-21,Spectrum,-163.23,Utilities
2024-05-22,Michaels,-132.71,Shopping
2024-05-22,Pep Boys,-78.55,Transportation
2024-05-22,Doctor's Office,-85.38,Healthcare
2024-05-22,Audible,-44.23,Subscriptions
2024-05-23,Spotify,-69.23,Entertainment
2024-05-23,Health Insurance,-235.79,Healthcare
2024-05-24,Panda Express,-30.11,Dining
2024-05-25,Gap,-118.48,Shopping
2024-05-26,Applebee's,-20.1,Dining
2024-05-28,Regal Cinemas,-110.9,Entertainment
2024-05-28,Apartment Management,-3434.31,Housing
2024-06-02,Starbucks,-56.4,Dining
2024-06-04,Marshalls,-75.5,Shopping
2024-06-04,Spotify,-130.73,Entertainment
2024-06-05,Taco Bell,-21.4,Dining
2024-06-07,Spectrum,-174.05,Utilities
2024-06-10,Delta Airlines,-1212.24,Travel
2024-06-11,Dunkin' Donuts,-56.17,Dining
2024-06-11,Taxi Service,-183.05,Transportation
2024-06-14,Kroger,-78.06,Groceries
2024-06-14,Panera Bread,-13.62,Dining
2024-06-14,Pizza Hut,-54.1,Dining
2024-06-14,Hotels.com,-122.38,Travel
2024-06-14,Southwest Airlines,-784.68,Travel
2024-06-15,Water Service,-240.87,Utilities
2024-06-16,IKEA,-257.9,Shopping
2024-06-16,Waste Management,-41.7,Utilities
2024-06-16,Dental Care,-446.34,Healthcare
2024-06-16,edX,-767.77,Education
2024-06-18,Five Guys,-56.8,Dining
2024-06-20,Cox Communications,-242.27,Utilities
2024-06-21,AMC Theaters,-112.84,Entertainment
2024-06-21,Cigna,-170.56,Healthcare
2024-06-22,HBO Max,-132.27,Entertainment
2024-06-24,Chipotle,-39.13,Dining
2024-06-24,UnitedHealthcare,-109.74,Healthcare
