date,description,amount,category
2024-04-17,Hertz,-17.41,Transportation
2024-04-18,Food Lion,-89.87,Groceries
2024-04-18,KFC,-39.03,Dining
2024-04-18,Exxon,-214.63,Transportation
2024-04-18,Gym Membership,-112.77,Fitness
2024-04-19,Aldi,-87.13,Groceries
2024-04-20,Marshalls,-299.03,Shopping
2024-04-20,Home Warranty,-1516.76,Housing
2024-04-21,Publix,-38.12,Groceries
2024-04-21,McDonald's,-11.81,Dining
2024-04-21,Macy's,-238.05,Shopping
2024-04-21,Furniture Rental,-2258.91,Housing
2024-04-22,Five Guys,-29.49,Dining
2024-04-23,Robinhood,-572.68,Investments
2024-04-24,Airline Tickets,-52.55,Transportation
2024-04-24,Booking.com,-1222.59,Travel
2024-04-25,Applebee's,-33.1,Dining
2024-04-25,Stock Purchase,-1075.87,Investments
2024-04-26,Olive Garden,-33.34,Dining
2024-04-26,Charles Schwab,-1738.43,Investments
2024-04-27,IKEA,-37.88,Shopping
2024-04-27,Pest Control,-3401.04,Housing
2024-04-27,Hilton,-1218.62,Travel
2024-04-29,Acorns,-1793.68,Investments
2024-04-30,Lawn Service,-1253.15,Housing
2024-05-01,Gap,-16.79,Shopping
2024-05-02,Supplement Store,-170.07,Fitness
2024-05-02,Workout Classes,-141.6,Fitness
2024-05-02,Acorns,-788.11,Investments
2024-05-03,Vacation Rental,-625.26,Travel
2024-05-04,Lululemon,-46.92,Fitness
2024-05-05,McDonald's,-28.95,Dining
2024-05-06,Kroger,-59.63,Groceries
2024-05-06,Morgan Stanley,-668.23,Investments
2024-05-07,Netflix,-68.46,Entertainment
2024-05-07,Avis,-128.19,Transportation
2024-05-09,Pizza Hut,-44.79,Dining
2024-05-10,Mutual Fund,-270.53,Investments
2024-05-11,Panera Bread,-8.51,Dining
2024-05-11,Substack,-12.18,Subscriptions
2024-05-12,Storage Unit,-1978.23,Housing
2024-05-13,Ulta Beauty,-65.28,Shopping
2024-05-13,ETF Purchase,-252.76,Investments
2024-05-14,Investment Contribution,-1731.81,Investments
2024-05-15,Save-A-Lot,-131.35,Groceries
2024-05-15,Ticketmaster,-79.35,Entertainment
2024-05-15,Investment Contribution,-1275.07,Investments
2024-05-17,H-E-B,-103.46,Groceries
2024-05-17,Pizza Hut,-69.65,Dining
2024-05-18,Resort Fees,-1247.02,Travel
2024-05-19,Peacock,-24.66,Entertainment
2024-05-19,American Airlines,-809.78,Travel
2024-05-20,Save-A-Lot,-94.1,Groceries
2024-05-20,Wegmans,-133.09,Groceries
2024-05-20,Amazon,-256.96,Shopping
2024-05-20,Vacation Rental,-277.81,Travel
2024-05-21,In-N-Out Burger,-66.75,Dining
2024-05-22,Burger King,-8.47,Dining
2024-05-22,TJ Maxx,-122.41,Shopping
2024-05-22,Equinox,-18.92,Fitness
2024-05-23,Wendy's,-48.37,Dining
2024-05-23,Marshalls,-223.73,Shopping
2024-05-24,Apple Store,-49.49,Shopping
2024-05-24,Marriott,-491.28,Travel
2024-05-25,Sports League Fees,-187.91,Fitness
2024-05-28,Amazon Prime,-13.21,Entertainment
2024-05-28,Mutual Fund,-609.47,Investments
2024-05-29,Subway,-29.07,Dining
2024-05-29,YouTube Premium,-109.21,Entertainment
2024-05-31,Apple Music,-104.55,Entertainment
2024-05-31,Patreon,-21.08,Subscriptions
2024-05-31,Airbnb,-1233.01,Travel
2024-06-01,Publix,-187.4,Groceries
2024-06-01,Moving Service,-1502.46,Housing
2024-06-02,Tidal,-83.21,Entertainment
2024-06-03,Concert Tickets,-129.38,Entertainment
2024-06-03,HBO Max,-69.13,Entertainment
2024-06-03,AutoZone,-48.3,Transportation
2024-06-04,HOA Fees,-2511.01,Housing
2024-06-04,Resort Fees,-181.42,Travel
2024-06-05,Planet Fitness,-139.82,Fitness
2024-06-07,Gap,-234.35,Shopping
2024-06-08,Starbucks,-56.46,Dining
2024-06-08,Hobby Lobby,-271.0,Shopping
2024-06-09,Disney+,-72.82,Entertainment
2024-06-09,Under Armour,-173.14,Fitness
2024-06-09,Airbnb,-952.49,Travel
2024-06-10,Wendy's,-44.06,Dining
2024-06-10,Gas Bill,-149.88,Utilities
2024-06-11,Equinox,-28.76,Fitness
2024-06-11,American Airlines,-1226.66,Travel
2024-06-12,Target,-242.42,Shopping
2024-06-12,Old Navy,-139.17,Shopping
2024-06-12,Investment Contribution,-579.9,Investments
2024-06-12,401(k) Contribution,-1671.39,Investments
2024-06-13,Sprouts,-61.14,Groceries
2024-06-13,Sephora,-15.14,Shopping
2024-06-13,Regal Cinemas,-138.9,Entertainment
2024-06-13,Expedia,-1455.86,Travel
2024-06-14,Ticketmaster,-38.26,Entertainment
2024-06-15,Sprouts,-120.86,Groceries
2024-06-17,Personal Trainer,-99.36,Fitness
2024-06-19,Chick-fil-A,-12.82,Dining
2024-06-19,Best Buy,-89.82,Shopping
2024-06-19,Medium,-17.85,Subscriptions
2024-06-19,American Airlines,-1326.1,Travel
2024-06-20,Comcast,-187.42,Utilities
2024-06-21,Aldi,-56.35,Groceries
2024-06-21,Under Armour,-154.1,Fitness
2024-06-21,Airbnb,-951.46,Travel
2024-06-22,Marshalls,-216.93,Shopping
2024-06-22,Athleta,-99.46,Fitness
2024-06-23,Panda Express,-36.48,Dining
2024-06-23,Grammarly,-8.79,Subscriptions
2024-06-23,Cruise Line,-1211.23,Travel
2024-06-23,Morgan Stanley,-960.43,Investments
2024-06-25,401(k) Contribution,-352.94,Investments
2024-06-26,Waste Management,-270.34,Utilities
2024-06-26,Athleta,-120.63,Fitness
2024-06-27,Electric Company,-182.98,Utilities
2024-06-29,Marshalls,-245.72,Shopping
2024-06-30,Old Navy,-113.67,Shopping
2024-06-30,Retirement Contribution,-1040.86,Investments
2024-07-01,Bowling Alley,-134.58,Entertainment
2024-07-02,Nordstrom,-168.18,Shopping
2024-07-02,Hotels.com,-379.18,Travel
2024-07-04,DirecTV,-131.65,Utilities
2024-07-04,Athleta,-100.8,Fitness
2024-07-05,Save-A-Lot,-101.61,Groceries
2024-07-05,Moving Service,-1878.08,Housing
2024-07-06,Apple TV+,-51.14,Entertainment
2024-07-06,Vanguard,-902.41,Investments
2024-07-07,Burger King,-9.23,Dining
2024-07-07,Tidal,-70.6,Entertainment
2024-07-07,Fitness Equipment,-55.36,Fitness
2024-07-07,Lululemon,-113.51,Fitness
2024-07-08,Peacock,-94.35,Entertainment
2024-07-09,Disney+,-18.16,Entertainment
2024-07-10,Marshalls,-239.04,Shopping
2024-07-10,Regal Cinemas,-107.09,Entertainment
2024-07-10,Retirement Contribution,-584.39,Investments
2024-07-11,Five Guys,-23.07,Dining
2024-07-11,American Airlines,-143.69,Travel
2024-07-11,ETF Purchase,-1131.42,Investments
2024-07-12,Dunkin' Donuts,-21.32,Dining
2024-07-12,Pest Control,-2415.1,Housing
2024-07-13,Panda Express,-59.04,Dining
2024-07-13,Lululemon,-39.18,Fitness
2024-07-14,Subway,-15.1,Dining
2024-07-14,KFC,-19.59,Dining
2024-07-15,Robinhood,-659.17,Investments
2024-07-16,McDonald's,-64.29,Dining
2024-07-18,Aldi,-178.93,Groceries
2024-07-18,Walmart,-80.31,Shopping
2024-07-18,Retirement Contribution,-1887.81,Investments
2024-07-18,Merrill Lynch,-378.43,Investments
2024-07-19,Furniture Rental,-1597.9,Housing
2024-07-20,Hilton,-1282.51,Travel
2024-07-21,Ulta Beauty,-12.14,Shopping
2024-07-21,Delta Airlines,-1694.58,Travel
2024-07-22,401(k) Contribution,-1664.3,Investments
2024-07-23,Safeway,-169.25,Groceries
2024-07-23,United Airlines,-1960.46,Travel
2024-07-24,Five Guys,-57.9,Dining
2024-07-25,Parking,-24.36,Transportation
2024-07-27,ETF Purchase,-258.51,Investments
2024-07-29,Workout Classes,-36.26,Fitness
2024-07-29,Travelocity,-1726.12,Travel
2024-07-29,Acorns,-1726.34,Investments
2024-07-30,Panera Bread,-55.07,Dining
2024-07-30,Walmart,-147.04,Shopping
2024-07-30,Cleaning Service,-1139.5,Housing
2024-07-31,Domino's Pizza,-8.86,Dining
2024-08-02,Bed Bath & Beyond,-25.5,Shopping
2024-08-03,Morgan Stanley,-1100.71,Investments
2024-08-04,In-N-Out Burger,-34.35,Dining
2024-08-04,Planet Fitness,-15.43,Fitness
2024-08-04,Athleta,-142.2,Fitness
2024-08-05,Uber,-136.71,Transportation
2024-08-06,Applebee's,-40.18,Dining
2024-08-06,Marshalls,-275.25,Shopping
2024-08-07,Ticketmaster,-88.54,Entertainment
2024-08-07,Workout Classes,-155.52,Fitness
2024-08-08,NordVPN,-20.04,Subscriptions
2024-08-09,United Airlines,-1400.33,Travel
2024-08-11,Airline Tickets,-18.89,Transportation
2024-08-11,Avis,-203.42,Transportation
2024-08-11,Airbnb,-1989.29,Travel
2024-08-12,Olive Garden,-10.45,Dining
2024-08-12,Vanguard,-398.92,Investments
2024-08-13,Sephora,-233.83,Shopping
2024-08-14,H-E-B,-32.57,Groceries
2024-08-15,Wegmans,-75.62,Groceries
2024-08-16,Property Tax,-2551.28,Housing
2024-08-17,Wegmans,-106.63,Groceries
2024-08-17,Mortgage,-986.37,Housing
2024-08-17,Travel Insurance,-300.16,Travel
2024-08-18,Macy's,-30.81,Shopping
2024-08-19,Planet Fitness,-189.54,Fitness
2024-08-19,Travel Agency,-710.39,Travel
2024-08-19,Merrill Lynch,-1722.9,Investments
2024-08-19,Acorns,-1509.74,Investments
2024-08-20,Macy's,-181.85,Shopping
2024-08-20,Marriott,-1373.68,Travel
2024-08-21,Applebee's,-51.02,Dining
2024-08-23,Panera Bread,-67.74,Dining
2024-08-24,Hotels.com,-1658.57,Travel
2024-08-24,Bond Purchase,-1728.25,Investments
2024-08-25,Regal Cinemas,-141.39,Entertainment
2024-08-27,Kohl's,-239.88,Shopping
2024-08-27,American Airlines,-146.28,Travel
2024-08-28,Newegg,-184.89,Shopping
2024-08-28,Vacation Rental,-855.88,Travel
2024-08-28,Acorns,-353.17,Investments
2024-08-29,Delta Airlines,-430.0,Travel
2024-08-30,Vacation Rental,-1492.62,Travel
2024-08-31,Wegmans,-112.34,Groceries
2024-08-31,Whole Foods,-120.94,Groceries
2024-08-31,Costco,-88.29,Groceries
2024-09-01,Expedia,-1203.98,Travel
2024-09-02,IRA Contribution,-1200.29,Investments
2024-09-03,Kroger,-130.4,Groceries
2024-09-03,Subway,-70.32,Dining
2024-09-05,Aldi,-53.93,Groceries
2024-09-05,Ulta Beauty,-110.86,Shopping
2024-09-05,Movie Theater,-81.64,Entertainment
2024-09-06,Bed Bath & Beyond,-269.36,Shopping
2024-09-07,Tidal,-20.5,Entertainment
2024-09-07,Hotels.com,-1313.15,Travel
2024-09-08,Apple Store,-49.79,Shopping
2024-09-08,United Airlines,-875.47,Travel
2024-09-09,Olive Garden,-55.6,Dining
2024-09-10,Chick-fil-A,-71.57,Dining
2024-09-10,TJ Maxx,-10.24,Shopping
2024-09-10,Rent Payment,-827.44,Housing
2024-09-11,KFC,-65.45,Dining
2024-09-11,Electric Company,-214.35,Utilities
2024-09-11,Hotels.com,-1279.75,Travel
2024-09-12,In-N-Out Burger,-18.7,Dining
2024-09-12,Taco Bell,-74.56,Dining
2024-09-12,Hilton,-1964.0,Travel
2024-09-13,Booking.com,-967.88,Travel
2024-09-13,Travel Agency,-783.71,Travel
2024-09-14,Merrill Lynch,-1896.68,Investments
2024-09-14,Coinbase,-604.65,Investments
2024-09-15,Amazon,-115.39,Shopping
2024-09-15,401(k) Contribution,-240.64,Investments
2024-09-16,ConEd,-243.65,Utilities
2024-09-19,TJ Maxx,-242.8,Shopping
2024-09-19,YouTube Premium,-25.58,Entertainment
2024-09-19,Airline Tickets,-245.57,Transportation
2024-09-19,HOA Fees,-3339.78,Housing
2024-09-20,Phone Bill,-283.93,Utilities
2024-09-21,Home Depot,-33.43,Shopping
2024-09-21,Movie Theater,-56.6,Entertainment
2024-09-21,Parking,-91.01,Transportation
2024-09-22,Albertsons,-26.17,Groceries
2024-09-22,Cruise Line,-1412.78,Travel
2024-09-23,Adidas,-112.8,Fitness
2024-09-24,Burger King,-71.5,Dining
2024-09-24,Sephora,-169.56,Shopping
2024-09-24,Avis,-106.71,Transportation
2024-09-24,IRA Contribution,-1566.54,Investments
2024-09-25,Adidas,-113.17,Fitness
2024-09-26,Sprouts,-178.71,Groceries
2024-09-26,Nike,-167.78,Fitness
2024-09-26,Booking.com,-1027.62,Travel
2024-09-27,HBO Max,-135.69,Entertainment
2024-09-27,Travel Insurance,-748.71,Travel
2024-09-28,Pest Control,-3086.08,Housing
2024-09-29,Chick-fil-A,-72.31,Dining
2024-09-30,Albertsons,-94.78,Groceries
2024-09-30,Merrill Lynch,-1446.02,Investments
2024-10-01,IKEA,-38.49,Shopping
2024-10-01,Kohl's,-89.97,Shopping
2024-10-01,YouTube Premium,-97.78,Entertainment
2024-10-01,Enterprise Rent-A-Car,-217.66,Transportation
2024-10-01,Grammarly,-22.79,Subscriptions
2024-10-02,Hobby Lobby,-259.86,Shopping
2024-10-03,Under Armour,-171.57,Fitness
2024-10-03,Robinhood,-1658.21,Investments
2024-10-04,Chipotle,-54.37,Dining
2024-10-04,Chick-fil-A,-15.67,Dining
2024-10-04,Apple TV+,-144.48,Entertainment
2024-10-04,Public Transit,-73.4,Transportation
2024-10-05,Duke Energy,-196.57,Utilities
2024-10-05,E*TRADE,-1000.43,Investments
2024-10-05,ETF Purchase,-1269.72,Investments
2024-10-06,Vacation Rental,-691.64,Travel
2024-10-07,Mutual Fund,-1263.48,Investments
2024-10-08,American Airlines,-1596.84,Travel
2024-10-09,Starbucks,-29.05,Dining
2024-10-10,Panera Bread,-11.08,Dining
2024-10-10,Apple Music,-127.11,Entertainment
2024-10-10,Uber,-218.46,Transportation
2024-10-11,Apple Store,-108.46,Shopping
2024-10-11,Cruise Line,-1861.6,Travel
2024-10-13,Wendy's,-20.52,Dining
2024-10-13,Applebee's,-49.36,Dining
2024-10-13,Panda Express,-16.98,Dining
2024-10-13,TJ Maxx,-144.85,Shopping
2024-10-14,Panera Bread,-52.09,Dining
2024-10-14,YouTube Premium,-117.01,Entertainment
2024-10-14,Concert Tickets,-16.99,Entertainment
2024-10-14,Cruise Line,-1966.5,Travel
2024-10-15,Food Lion,-87.21,Groceries
2024-10-15,Sephora,-146.2,Shopping
2024-10-15,Apple Music,-72.35,Entertainment
2024-10-15,Chevron,-129.68,Transportation
2024-10-16,Kohl's,-78.3,Shopping
