date,description,amount,category
2024-04-17,Employer Payroll,21408.55,Revenue
2024-04-23,Internet Provider,-154.82,Utilities
2024-05-02,Gift,32478.48,Revenue
2024-05-09,T-Mobile,-112.12,Utilities
2024-05-28,DirecTV,-88.59,Utilities
2024-06-07,Gas Bill,-203.42,Utilities
2024-06-07,Solar City,-156.29,Utilities
2024-07-20,Xfinity,-43.35,Utilities
2024-08-23,AT&T,-194.66,Utilities
2024-08-23,Dish Network,-92.62,Utilities
2024-09-07,AT&T,-178.27,Utilities
2024-09-16,Phone Bill,-136.42,Utilities
2024-10-11,Internet Provider,-132.06,Utilities
2024-10-27,DirecTV,-107.08,Utilities
2024-10-27,Gas Bill,-186.72,Utilities
2024-10-28,Xfinity,-172.09,Utilities
2024-12-07,Spectrum,-209.9,Utilities
2024-12-14,Solar City,-238.72,Utilities
2024-12-16,Cox Communications,-189.35,Utilities
2024-12-18,Dish Network,-140.49,Utilities
2025-01-08,Cox Communications,-262.33,Utilities
2025-02-26,Xfinity,-287.53,Utilities
2025-03-06,Solar City,-299.47,Utilities
2025-03-12,Verizon,-79.34,Utilities
2025-03-15,Spectrum,-185.52,Utilities
2025-03-16,PG&E,-280.31,Utilities
2025-03-30,Gas Bill,-119.89,Utilities
2025-03-20,Transfer to Savings,-5388.7,Savings
2024-04-12,Store Sales,642,Revenue
2024-04-12,Store Sales,766,Revenue
2024-04-12,Store Sales,925,Revenue
2024-04-13,Store Sales,713,Revenue
2024-04-13,Store Sales,1014,Revenue
2024-04-13,Store Sales,730,Revenue
2024-04-14,Store Sales,1280,Revenue
2024-04-14,Store Sales,416,Revenue
2024-04-14,Store Sales,1184,Revenue
2024-04-14,Special Promotion Sales,2480,Revenue
2024-04-15,Store Sales,974,Revenue
2024-04-15,Store Sales,539,Revenue
2024-04-15,Store Sales,379,Revenue
2024-04-16,Store Sales,413,Revenue
2024-04-16,Store Sales,667,Revenue
2024-04-16,Store Sales,676,Revenue
2024-04-17,Store Sales,319,Revenue
2024-04-17,Store Sales,922,Revenue
2024-04-17,Store Sales,1000,Revenue
2024-04-18,Store Sales,889,Revenue
2024-04-18,Store Sales,724,Revenue
2024-04-18,Store Sales,957,Revenue
2024-04-19,Store Sales,456,Revenue
2024-04-19,Store Sales,313,Revenue
2024-04-19,Store Sales,1138,Revenue
2024-04-20,Store Sales,882,Revenue
2024-04-20,Store Sales,1474,Revenue
2024-04-20,Store Sales,843,Revenue
2024-04-21,Store Sales,982,Revenue
2024-04-21,Store Sales,1111,Revenue
2024-04-21,Store Sales,1342,Revenue
2024-04-22,Store Sales,816,Revenue
2024-04-22,Store Sales,890,Revenue
2024-04-22,Store Sales,360,Revenue
2024-04-23,Store Sales,478,Revenue
2024-04-23,Store Sales,766,Revenue
2024-04-23,Store Sales,1199,Revenue
2024-04-24,Store Sales,415,Revenue
2024-04-24,Store Sales,485,Revenue
2024-04-24,Store Sales,1103,Revenue
2024-04-25,Store Sales,1058,Revenue
2024-04-25,Store Sales,420,Revenue
2024-04-25,Store Sales,352,Revenue
2024-04-26,Store Sales,542,Revenue
2024-04-26,Store Sales,882,Revenue
2024-04-26,Store Sales,674,Revenue
2024-04-27,Store Sales,743,Revenue
2024-04-27,Store Sales,1480,Revenue
2024-04-27,Store Sales,1051,Revenue
2024-04-28,Store Sales,1449,Revenue
2024-04-28,Store Sales,392,Revenue
2024-04-28,Store Sales,1207,Revenue
2024-04-29,Store Sales,1094,Revenue
2024-04-29,Store Sales,781,Revenue
2024-04-29,Store Sales,397,Revenue
2024-04-30,Store Sales,329,Revenue
2024-04-30,Store Sales,889,Revenue
2024-04-30,Store Sales,950,Revenue
2024-05-01,Store Sales,788,Revenue
2024-05-01,Store Sales,1091,Revenue
2024-05-01,Store Sales,1109,Revenue
2024-05-02,Store Sales,1055,Revenue
2024-05-02,Store Sales,488,Revenue
2024-05-02,Store Sales,807,Revenue
2024-05-03,Store Sales,928,Revenue
2024-05-03,Store Sales,1014,Revenue
2024-05-03,Store Sales,695,Revenue
2024-05-04,Store Sales,994,Revenue
2024-05-04,Store Sales,975,Revenue
2024-05-04,Store Sales,984,Revenue
2024-05-05,Store Sales,1010,Revenue
2024-05-05,Store Sales,426,Revenue
2024-05-05,Store Sales,1229,Revenue
2024-05-06,Store Sales,775,Revenue
2024-05-06,Store Sales,1052,Revenue
2024-05-06,Store Sales,566,Revenue
2024-05-07,Store Sales,1003,Revenue
2024-05-07,Store Sales,769,Revenue
2024-05-07,Store Sales,367,Revenue
2024-05-08,Store Sales,686,Revenue
2024-05-08,Store Sales,829,Revenue
2024-05-08,Store Sales,821,Revenue
2024-05-08,Special Promotion Sales,1713,Revenue
2024-05-09,Store Sales,348,Revenue
2024-05-09,Store Sales,795,Revenue
2024-05-09,Store Sales,967,Revenue
2024-05-10,Store Sales,1143,Revenue
2024-05-10,Store Sales,378,Revenue
2024-05-10,Store Sales,787,Revenue
2024-05-11,Store Sales,500,Revenue
2024-05-11,Store Sales,404,Revenue
2024-05-11,Store Sales,1509,Revenue
2024-05-12,Store Sales,686,Revenue
2024-05-12,Store Sales,887,Revenue
2024-05-12,Store Sales,729,Revenue
2024-05-13,Store Sales,1070,Revenue
2024-05-13,Store Sales,438,Revenue
2024-05-13,Store Sales,597,Revenue
2024-05-14,Store Sales,796,Revenue
2024-05-14,Store Sales,511,Revenue
2024-05-14,Store Sales,497,Revenue
2024-05-15,Store Sales,1025,Revenue
2024-05-15,Store Sales,1011,Revenue
2024-05-15,Store Sales,628,Revenue
2024-05-16,Store Sales,693,Revenue
2024-05-16,Store Sales,810,Revenue
2024-05-16,Store Sales,353,Revenue
2024-05-17,Store Sales,627,Revenue
2024-05-17,Store Sales,479,Revenue
2024-05-17,Store Sales,756,Revenue
2024-05-18,Store Sales,1219,Revenue
2024-05-18,Store Sales,1487,Revenue
2024-05-18,Store Sales,865,Revenue
2024-05-19,Store Sales,473,Revenue
2024-05-19,Store Sales,656,Revenue
2024-05-19,Store Sales,674,Revenue
2024-05-20,Store Sales,479,Revenue
2024-05-20,Store Sales,912,Revenue
2024-05-20,Store Sales,885,Revenue
2024-05-21,Store Sales,354,Revenue
2024-05-21,Store Sales,1125,Revenue
2024-05-21,Store Sales,767,Revenue
2024-05-22,Store Sales,860,Revenue
2024-05-22,Store Sales,1075,Revenue
2024-05-22,Store Sales,584,Revenue
2024-05-23,Store Sales,449,Revenue
2024-05-23,Store Sales,602,Revenue
2024-05-23,Store Sales,864,Revenue
2024-05-24,Store Sales,729,Revenue
2024-05-24,Store Sales,307,Revenue
2024-05-24,Store Sales,507,Revenue
2024-05-25,Store Sales,1528,Revenue
2024-05-25,Store Sales,1300,Revenue
2024-05-25,Store Sales,553,Revenue
2024-05-26,Store Sales,969,Revenue
2024-05-26,Store Sales,865,Revenue
2024-05-26,Store Sales,638,Revenue
2024-05-27,Store Sales,928,Revenue
2024-05-27,Store Sales,310,Revenue
2024-05-27,Store Sales,569,Revenue
2024-05-28,Store Sales,566,Revenue
2024-05-28,Store Sales,385,Revenue
2024-05-28,Store Sales,859,Revenue
2024-05-29,Store Sales,553,Revenue
2024-05-29,Store Sales,804,Revenue
2024-05-29,Store Sales,710,Revenue
2024-05-30,Store Sales,1188,Revenue
2024-05-30,Store Sales,663,Revenue
2024-05-30,Store Sales,913,Revenue
2024-05-31,Store Sales,580,Revenue
2024-05-31,Store Sales,535,Revenue
2024-05-31,Store Sales,559,Revenue
2024-06-01,Store Sales,1634,Revenue
2024-06-01,Store Sales,1460,Revenue
2024-06-01,Store Sales,1578,Revenue
2024-06-01,Store Sales,1469,Revenue
2024-06-02,Store Sales,1408,Revenue
2024-06-02,Store Sales,489,Revenue
2024-06-02,Store Sales,1210,Revenue
2024-06-02,Store Sales,761,Revenue
2024-06-03,Store Sales,858,Revenue
2024-06-03,Store Sales,1008,Revenue
2024-06-03,Store Sales,686,Revenue
2024-06-04,Store Sales,404,Revenue
2024-06-04,Store Sales,1406,Revenue
2024-06-04,Store Sales,684,Revenue
2024-06-05,Store Sales,961,Revenue
2024-06-05,Store Sales,1372,Revenue
2024-06-05,Store Sales,520,Revenue
2024-06-06,Store Sales,1142,Revenue
2024-06-06,Store Sales,1218,Revenue
2024-06-06,Store Sales,1146,Revenue
2024-06-07,Store Sales,873,Revenue
2024-06-07,Store Sales,962,Revenue
2024-06-07,Store Sales,1314,Revenue
2024-06-08,Store Sales,1706,Revenue
2024-06-08,Store Sales,856,Revenue
2024-06-08,Store Sales,918,Revenue
2024-06-08,Store Sales,1065,Revenue
2024-06-09,Store Sales,1363,Revenue
2024-06-09,Store Sales,1042,Revenue
2024-06-09,Store Sales,868,Revenue
2024-06-09,Store Sales,1497,Revenue
2024-06-10,Store Sales,1268,Revenue
2024-06-10,Store Sales,970,Revenue
2024-06-10,Store Sales,1315,Revenue
2024-06-11,Store Sales,1020,Revenue
2024-06-11,Store Sales,790,Revenue
2024-06-11,Store Sales,462,Revenue
2024-06-12,Store Sales,922,Revenue
2024-06-12,Store Sales,414,Revenue
2024-06-12,Store Sales,412,Revenue
2024-06-13,Store Sales,693,Revenue
2024-06-13,Store Sales,506,Revenue
2024-06-13,Store Sales,385,Revenue
2024-06-14,Store Sales,517,Revenue
2024-06-14,Store Sales,1153,Revenue
2024-06-14,Store Sales,1180,Revenue
2024-06-15,Store Sales,594,Revenue
2024-06-15,Store Sales,1443,Revenue
2024-06-15,Store Sales,600,Revenue
2024-06-15,Store Sales,1205,Revenue
2024-06-16,Store Sales,1478,Revenue
2024-06-16,Store Sales,1015,Revenue
2024-06-16,Store Sales,1241,Revenue
2024-06-16,Store Sales,687,Revenue
2024-06-17,Store Sales,1118,Revenue
2024-06-17,Store Sales,474,Revenue
2024-06-17,Store Sales,732,Revenue
2024-06-18,Store Sales,474,Revenue
2024-06-18,Store Sales,444,Revenue
2024-06-18,Store Sales,1177,Revenue
2024-06-19,Store Sales,909,Revenue
2024-06-19,Store Sales,1416,Revenue
2024-06-19,Store Sales,892,Revenue
2024-06-20,Store Sales,510,Revenue
2024-06-20,Store Sales,1400,Revenue
2024-06-20,Store Sales,438,Revenue
2024-06-21,Store Sales,1070,Revenue
2024-06-21,Store Sales,546,Revenue
2024-06-21,Store Sales,1204,Revenue
2024-06-21,Special Promotion Sales,1771,Revenue
2024-06-22,Store Sales,893,Revenue
2024-06-22,Store Sales,471,Revenue
2024-06-22,Store Sales,1004,Revenue
2024-06-22,Store Sales,1790,Revenue
2024-06-23,Store Sales,951,Revenue
2024-06-23,Store Sales,1726,Revenue
2024-06-23,Store Sales,1062,Revenue
2024-06-23,Store Sales,1332,Revenue
2024-06-24,Store Sales,679,Revenue
2024-06-24,Store Sales,710,Revenue
2024-06-24,Store Sales,1021,Revenue
2024-06-25,Store Sales,595,Revenue
2024-06-25,Store Sales,1213,Revenue
2024-06-25,Store Sales,672,Revenue
2024-06-26,Store Sales,531,Revenue
2024-06-26,Store Sales,1255,Revenue
2024-06-26,Store Sales,1328,Revenue
2024-06-27,Store Sales,812,Revenue
2024-06-27,Store Sales,477,Revenue
2024-06-27,Store Sales,1167,Revenue
2024-06-28,Store Sales,964,Revenue
2024-06-28,Store Sales,1324,Revenue
2024-06-28,Store Sales,672,Revenue
2024-06-29,Store Sales,1241,Revenue
2024-06-29,Store Sales,1304,Revenue
2024-06-29,Store Sales,519,Revenue
2024-06-29,Store Sales,1001,Revenue
2024-06-30,Store Sales,918,Revenue
2024-06-30,Store Sales,492,Revenue
2024-06-30,Store Sales,1689,Revenue
2024-06-30,Store Sales,1297,Revenue
2024-07-01,Store Sales,493,Revenue
2024-07-01,Store Sales,1245,Revenue
2024-07-01,Store Sales,1160,Revenue
2024-07-02,Store Sales,439,Revenue
2024-07-02,Store Sales,1398,Revenue
2024-07-02,Store Sales,392,Revenue
2024-07-03,Store Sales,388,Revenue
2024-07-03,Store Sales,559,Revenue
2024-07-03,Store Sales,553,Revenue
2024-07-04,Store Sales,632,Revenue
2024-07-04,Store Sales,679,Revenue
2024-07-04,Store Sales,897,Revenue
2024-07-05,Store Sales,1250,Revenue
2024-07-05,Store Sales,614,Revenue
2024-07-05,Store Sales,1057,Revenue
2024-07-06,Store Sales,1686,Revenue
2024-07-06,Store Sales,1232,Revenue
2024-07-06,Store Sales,1137,Revenue
2024-07-06,Store Sales,1354,Revenue
2024-07-07,Store Sales,524,Revenue
2024-07-07,Store Sales,521,Revenue
2024-07-07,Store Sales,1393,Revenue
2024-07-07,Store Sales,641,Revenue
2024-07-08,Store Sales,836,Revenue
2024-07-08,Store Sales,560,Revenue
2024-07-08,Store Sales,434,Revenue
2024-07-08,Special Promotion Sales,2720,Revenue
2024-07-09,Store Sales,494,Revenue
2024-07-09,Store Sales,452,Revenue
2024-07-09,Store Sales,1432,Revenue
2024-07-10,Store Sales,594,Revenue
2024-07-10,Store Sales,417,Revenue
2024-07-10,Store Sales,1375,Revenue
2024-07-11,Store Sales,1068,Revenue
2024-07-11,Store Sales,648,Revenue
2024-07-11,Store Sales,1327,Revenue
2024-07-12,Store Sales,625,Revenue
2024-07-12,Store Sales,588,Revenue
2024-07-12,Store Sales,1423,Revenue
2024-07-13,Store Sales,1672,Revenue
