date,description,amount,category
2024-04-17,Kayak,-522.33,Travel
2024-04-18,Car Repair,-146.84,Transportation
2024-04-18,Spectrum,-252.44,Utilities
2024-04-19,Retirement Contribution,-1579.29,Investments
2024-04-20,IRA Contribution,-310.19,Investments
2024-04-22,Investment Contribution,-1654.03,Investments
2024-04-23,Apple Music,-103.35,Entertainment
2024-04-28,Chipotle,-24.9,Dining
2024-04-29,Kohl's,-276.94,Shopping
2024-05-01,Mutual Fund,-1724.53,Investments
2024-05-03,AutoZone,-103.88,Transportation
2024-05-03,Kaiser Permanente,-81.85,Healthcare
2024-05-04,Adobe Creative Cloud,-24.51,Subscriptions
2024-05-04,E*TRADE,-1161.77,Investments
2024-05-05,Coinbase,-1186.62,Investments
2024-05-06,Burger King,-72.67,Dining
2024-05-07,Save-A-Lot,-116.55,Groceries
2024-05-12,Betterment,-1184.44,Investments
2024-05-13,Bed Bath & Beyond,-70.85,Shopping
2024-05-13,Regal Cinemas,-59.89,Entertainment
2024-05-16,Apple Store,-77.75,Shopping
2024-05-19,Hotels.com,-1696.69,Travel
2024-05-19,Morgan Stanley,-1939.72,Investments
2024-05-20,Aldi,-153.2,Groceries
2024-05-20,Betterment,-545.12,Investments
2024-05-22,Target,-159.31,Shopping
2024-05-23,Xfinity,-296.71,Utilities
2024-05-25,Toll Roads,-225.59,Transportation
2024-05-26,Albertsons,-137.86,Groceries
2024-05-26,UnitedHealthcare,-146.32,Healthcare
2024-05-29,Panera Bread,-54.07,Dining
2024-05-29,United Airlines,-1136.42,Travel
2024-05-30,Apartment Management,-3477.99,Housing
2024-06-01,Hobby Lobby,-291.17,Shopping
2024-06-04,Stock Purchase,-1515.67,Investments
2024-06-05,Fitness Equipment,-180.57,Fitness
2024-06-06,Hotels.com,-818.67,Travel
2024-06-08,Wealthfront,-1444.16,Investments
2024-06-09,Public Transit,-229.2,Transportation
2024-06-12,Laboratory Services,-343.48,Healthcare
2024-06-12,Athleta,-126.78,Fitness
2024-06-14,Nordstrom,-104.71,Shopping
2024-06-14,Gym Membership,-135.49,Fitness
2024-06-19,Save-A-Lot,-191.63,Groceries
2024-06-19,IRA Contribution,-330.73,Investments
2024-06-20,ETF Purchase,-521.22,Investments
2024-06-27,Wegmans,-77.95,Groceries
2024-06-27,Taco Bell,-57.8,Dining
2024-06-28,Toll Roads,-78.82,Transportation
2024-06-29,Solar City,-58.99,Utilities
2024-07-01,Whole Foods,-101.04,Groceries
2024-07-01,Albertsons,-193.69,Groceries
2024-07-03,Regal Cinemas,-145.02,Entertainment
2024-07-04,Meijer,-174.22,Groceries
2024-07-04,Exxon,-98.33,Transportation
2024-07-04,PG&E,-51.03,Utilities
2024-07-04,Physical Therapy,-143.1,Healthcare
2024-07-04,Dropbox,-48.26,Subscriptions
2024-07-07,Peloton,-70.82,Fitness
2024-07-11,Tidal,-146.63,Entertainment
2024-07-12,Laboratory Services,-224.6,Healthcare
2024-07-14,Public Transit,-91.9,Transportation
2024-07-17,Steam,-90.7,Entertainment
2024-07-21,Medium,-14.9,Subscriptions
2024-07-21,iCloud Storage,-31.93,Subscriptions
2024-07-25,Aldi,-55.72,Groceries
2024-07-26,Hobby Lobby,-164.16,Shopping
2024-07-27,T-Mobile,-266.26,Utilities
2024-07-27,Fidelity,-1175.2,Investments
2024-07-28,Stock Purchase,-1960.11,Investments
2024-07-29,Save-A-Lot,-24.37,Groceries
2024-07-30,Taco Bell,-10.27,Dining
2024-07-31,Hilton,-1511.11,Travel
2024-07-31,Resort Fees,-1493.44,Travel
2024-08-01,In-N-Out Burger,-34.5,Dining
2024-08-01,Rite Aid,-402.62,Healthcare
