date,description,amount,category
2024-04-24,Phone Bill,-66.39,Utilities
2024-04-27,Verizon,-218.89,Utilities
2024-05-04,Electric Company,-42.88,Utilities
2024-05-18,Duke Energy,-50.4,Utilities
2024-06-03,Water Service,-201.79,Utilities
2024-06-04,Duke Energy,-46.47,Utilities
2024-06-06,Dish Network,-258.24,Utilities
2024-06-17,Comcast,-172.35,Utilities
2024-06-23,PG&E,-286.74,Utilities
2024-07-05,Phone Bill,-136.97,Utilities
2024-07-29,PG&E,-166.57,Utilities
2024-08-21,Cox Communications,-139.4,Utilities
2024-09-12,ConEd,-142.76,Utilities
2024-10-06,Waste Management,-155.67,Utilities
2024-10-07,Internet Provider,-125.69,Utilities
2024-10-19,Gas Bill,-165.76,Utilities
2024-12-18,PG&E,-67.81,Utilities
2024-12-20,Water Service,-200.1,Utilities
2025-01-10,Internet Provider,-236.11,Utilities
2025-01-14,Comcast,-47.4,Utilities
2025-01-27,Dish Network,-260.24,Utilities
2025-02-09,Comcast,-234.01,Utilities
2025-02-14,Cox Communications,-130.66,Utilities
2025-02-14,Xfinity,-46.71,Utilities
2025-03-17,T-Mobile,-183.51,Utilities
2025-03-27,Xfinity,-108.92,Utilities
2025-04-06,Xfinity,-108.44,Utilities
2025-04-07,Spectrum,-77.28,Utilities
2025-04-04,Transfer to Savings,-0.0,Savings
2024-04-28,Employee Payroll,-10186,Payroll
2024-05-28,Employee Payroll,-8889,Payroll
2024-06-28,Employee Payroll,-11673,Payroll
2024-07-28,Employee Payroll,-8214,Payroll
2024-08-28,Employee Payroll,-8365,Payroll
2024-08-30,Employee Payroll,-10417,Payroll
2024-09-28,Employee Payroll,-11612,Payroll
2024-10-28,Employee Payroll,-9281,Payroll
2024-11-15,Employee Payroll,-8241,Payroll
2024-11-28,Employee Payroll,-9983,Payroll
2024-12-28,Employee Payroll,-11455,Payroll
2025-01-28,Employee Payroll,-9728,Payroll
2025-02-28,Employee Payroll,-8509,Payroll
2025-03-28,Employee Payroll,-10741,Payroll
2024-04-15,Quarterly Business Tax Payment,-6131,Taxes
2024-07-15,Quarterly Business Tax Payment,-6388,Taxes
2024-10-15,Quarterly Business Tax Payment,-5303,Taxes
2025-01-15,Quarterly Business Tax Payment,-5829,Taxes
2024-05-01,Business Rent,-4264,Rent
2024-05-01,Business Insurance,-649,Insurance
2024-05-01,Internet and Phone,-273,Utilities
2024-05-01,Electricity,-323,Utilities
2024-05-01,Accounting Services,-586,Services
2024-05-01,Cleaning Service,-266,Services
2024-05-01,Office Supplies,-157,Supplies
2024-05-01,Marketing Services,-1461,Marketing
2024-06-01,Business Rent,-4161,Rent
2024-06-01,Business Insurance,-616,Insurance
2024-06-01,Internet and Phone,-312,Utilities
2024-06-01,Electricity,-337,Utilities
2024-06-01,Accounting Services,-652,Services
2024-06-01,Cleaning Service,-276,Services
2024-06-01,Office Supplies,-163,Supplies
2024-06-01,Marketing Services,-1347,Marketing
2024-07-01,Business Rent,-4026,Rent
2024-07-01,Business Insurance,-636,Insurance
2024-07-01,Internet and Phone,-268,Utilities
2024-07-01,Electricity,-333,Utilities
2024-07-01,Accounting Services,-636,Services
2024-07-01,Cleaning Service,-239,Services
2024-07-01,Office Supplies,-161,Supplies
2024-07-01,Marketing Services,-1402,Marketing
2024-08-01,Business Rent,-3630,Rent
2024-08-01,Business Insurance,-576,Insurance
2024-08-01,Internet and Phone,-292,Utilities
2024-08-01,Electricity,-290,Utilities
2024-08-01,Accounting Services,-610,Services
2024-08-01,Cleaning Service,-257,Services
2024-08-01,Office Supplies,-162,Supplies
2024-08-01,Marketing Services,-1389,Marketing
2024-09-01,Business Rent,-4233,Rent
2024-09-01,Business Insurance,-627,Insurance
2024-09-01,Internet and Phone,-269,Utilities
2024-09-01,Electricity,-329,Utilities
2024-09-01,Accounting Services,-635,Services
2024-09-01,Cleaning Service,-258,Services
2024-09-01,Office Supplies,-158,Supplies
2024-09-01,Marketing Services,-1507,Marketing
2024-10-01,Business Rent,-3756,Rent
2024-10-01,Business Insurance,-615,Insurance
2024-10-01,Internet and Phone,-315,Utilities
2024-10-01,Electricity,-319,Utilities
2024-10-01,Accounting Services,-598,Services
2024-10-01,Cleaning Service,-258,Services
2024-10-01,Office Supplies,-179,Supplies
2024-10-01,Marketing Services,-1481,Marketing
2024-11-01,Business Rent,-3820,Rent
2024-11-01,Business Insurance,-624,Insurance
2024-11-01,Internet and Phone,-314,Utilities
2024-11-01,Electricity,-342,Utilities
2024-11-01,Accounting Services,-607,Services
2024-11-01,Cleaning Service,-264,Services
2024-11-01,Office Supplies,-154,Supplies
2024-11-01,Marketing Services,-1358,Marketing
2024-12-01,Business Rent,-4038,Rent
2024-12-01,Business Insurance,-615,Insurance
2024-12-01,Internet and Phone,-302,Utilities
2024-12-01,Electricity,-322,Utilities
2024-12-01,Accounting Services,-635,Services
2024-12-01,Cleaning Service,-282,Services
2024-12-01,Office Supplies,-152,Supplies
2024-12-01,Marketing Services,-1367,Marketing
2025-01-01,Business Rent,-3612,Rent
2025-01-01,Business Insurance,-541,Insurance
2025-01-01,Internet and Phone,-276,Utilities
2025-01-01,Electricity,-315,Utilities
2025-01-01,Accounting Services,-711,Services
2025-01-01,Cleaning Service,-241,Services
2025-01-01,Office Supplies,-183,Supplies
2025-01-01,Marketing Services,-1403,Marketing
2025-02-01,Business Rent,-3850,Rent
2025-02-01,Business Insurance,-616,Insurance
2025-02-01,Internet and Phone,-308,Utilities
2025-02-01,Electricity,-339,Utilities
2025-02-01,Accounting Services,-688,Services
2025-02-01,Cleaning Service,-253,Services
2025-02-01,Office Supplies,-169,Supplies
2025-02-01,Marketing Services,-1454,Marketing
2025-03-01,Business Rent,-4201,Rent
2025-03-01,Business Insurance,-637,Insurance
2025-03-01,Internet and Phone,-268,Utilities
2025-03-01,Electricity,-281,Utilities
2025-03-01,Accounting Services,-593,Services
2025-03-01,Cleaning Service,-247,Services
2025-03-01,Office Supplies,-184,Supplies
2025-03-01,Marketing Services,-1397,Marketing
2025-04-01,Business Rent,-3600,Rent
2025-04-01,Business Insurance,-573,Insurance
2025-04-01,Internet and Phone,-323,Utilities
2025-04-01,Electricity,-281,Utilities
2025-04-01,Accounting Services,-681,Services
2025-04-01,Cleaning Service,-245,Services
2025-04-01,Office Supplies,-179,Supplies
2025-04-01,Marketing Services,-1342,Marketing
2024-11-22,Inventory Purchase - Local Producer E,-2050,Inventory
2025-01-27,Inventory Purchase - Distributor C,-2914,Inventory
2024-12-06,Inventory Purchase - Manufacturer B,-3095,Inventory
2024-06-29,Inventory Purchase - Import Company D,-2478,Inventory
2024-08-03,Inventory Purchase - Wholesale Supplier A,-3706,Inventory
2025-03-31,Inventory Purchase - Manufacturer B,-2223,Inventory
2025-01-28,Inventory Purchase - Import Company D,-4878,Inventory
2025-01-30,Inventory Purchase - Wholesale Supplier A,-4613,Inventory
2024-08-03,Inventory Purchase - Manufacturer B,-3173,Inventory
2024-05-09,Inventory Purchase - Local Producer E,-2296,Inventory
2024-11-04,Inventory Purchase - Distributor C,-1396,Inventory
2025-03-11,Inventory Purchase - Import Company D,-2238,Inventory
2024-10-12,Inventory Purchase - Manufacturer B,-2805,Inventory
2024-12-25,Inventory Purchase - Distributor C,-4807,Inventory
2024-10-03,Inventory Purchase - Import Company D,-3891,Inventory
2024-09-27,Inventory Purchase - Manufacturer B,-1740,Inventory
2024-07-10,Inventory Purchase - Import Company D,-3500,Inventory
2025-02-14,Inventory Purchase - Import Company D,-1937,Inventory
2024-07-01,Inventory Purchase - Import Company D,-2070,Inventory
2025-02-16,Inventory Purchase - Manufacturer B,-1715,Inventory
2025-03-06,Inventory Purchase - Import Company D,-4452,Inventory
2025-02-12,Inventory Purchase - Import Company D,-4320,Inventory
2024-05-03,Inventory Purchase - Distributor C,-1692,Inventory
2024-06-20,Inventory Purchase - Wholesale Supplier A,-4246,Inventory
2024-05-31,Inventory Purchase - Manufacturer B,-2872,Inventory
2024-09-25,Inventory Purchase - Distributor C,-3130,Inventory
2024-11-17,Inventory Purchase - Import Company D,-3294,Inventory
2024-04-12,Employer Payroll,4500,Income
2024-04-26,Employer Payroll,4500,Income
2024-05-10,Employer Payroll,4500,Income
2024-05-24,Employer Payroll,4500,Income
2024-06-07,Employer Payroll,4500,Income
2024-06-21,Employer Payroll,4500,Income
2024-07-05,Employer Payroll,4500,Income
2024-07-19,Employer Payroll,4500,Income
2024-08-02,Employer Payroll,4500,Income
2024-08-16,Employer Payroll,4500,Income
2024-08-30,Employer Payroll,4500,Income
2024-09-13,Employer Payroll,4500,Income
2024-09-27,Employer Payroll,4500,Income
2024-10-11,Employer Payroll,4500,Income
2024-10-25,Employer Payroll,4500,Income
2024-11-08,Employer Payroll,4500,Income
2024-11-22,Employer Payroll,4500,Income
2024-12-06,Employer Payroll,4500,Income
2024-12-20,Employer Payroll,4500,Income
2025-01-03,Employer Payroll,4500,Income
2025-01-17,Employer Payroll,4500,Income
2025-01-31,Employer Payroll,4500,Income
2025-02-14,Employer Payroll,4500,Income
2025-02-28,Employer Payroll,4500,Income
2025-03-14,Employer Payroll,4500,Income
2025-03-28,Employer Payroll,4500,Income
2025-04-11,Employer Payroll,4500,Income
