date,description,amount,category
2024-04-17,Trader Joe's,-163.23,Groceries
2024-04-21,Hertz,-117.15,Transportation
2024-04-22,Macy's,-105.71,Shopping
2024-04-23,TJ Maxx,-224.38,Shopping
2024-04-24,AMC Theaters,-23.42,Entertainment
2024-04-25,Apple Music,-16.42,Entertainment
2024-04-27,Macy's,-292.4,Shopping
2024-04-29,Subway,-46.78,Dining
2024-05-01,Kindle Unlimited,-19.14,Subscriptions
2024-05-04,Tidal,-70.86,Entertainment
2024-05-09,Food Lion,-170.08,Groceries
2024-05-10,Personal Trainer,-93.92,Fitness
2024-05-12,Dunkin' Donuts,-11.55,Dining
2024-05-12,Domino's Pizza,-39.4,Dining
2024-05-12,Walmart,-240.88,Shopping
2024-05-16,Avis,-172.61,Transportation
2024-05-17,Delta Airlines,-567.4,Travel
2024-05-19,Expedia,-1527.96,Travel
2024-05-21,Publix,-97.71,Groceries
2024-05-21,Security Deposit,-2326.91,Housing
2024-05-22,Avis,-179.94,Transportation
2024-05-23,McDonald's,-58.19,Dining
2024-05-24,McDonald's,-67.31,Dining
2024-05-24,Sephora,-89.17,Shopping
2024-05-26,Applebee's,-25.66,Dining
2024-05-27,Hertz,-111.15,Transportation
2024-05-28,Apple TV+,-11.83,Entertainment
2024-05-30,Applebee's,-35.16,Dining
2024-05-30,Cruise Line,-1712.5,Travel
2024-05-31,Kroger,-110.26,Groceries
2024-05-31,Lowe's,-249.89,Shopping
2024-06-01,Marriott,-346.85,Travel
2024-06-03,Parking,-61.72,Transportation
2024-06-03,Xfinity,-87.87,Utilities
2024-06-04,Substack,-41.3,Subscriptions
2024-06-06,Publix,-93.93,Groceries
2024-06-06,Jiffy Lube,-96.21,Transportation
2024-06-07,Panera Bread,-17.54,Dining
2024-06-07,HOA Fees,-2706.9,Housing
2024-06-09,Chick-fil-A,-71.23,Dining
2024-06-09,Panda Express,-11.33,Dining
2024-06-09,Disney+,-103.01,Entertainment
2024-06-09,Toll Roads,-188.29,Transportation
2024-06-10,LastPass,-16.98,Subscriptions
2024-06-12,Supplement Store,-165.7,Fitness
2024-06-16,Shell,-37.85,Transportation
2024-06-18,Sports League Fees,-108.24,Fitness
2024-06-20,Walmart,-35.3,Shopping
2024-06-22,Whole Foods,-116.26,Groceries
2024-06-22,Target,-124.31,Shopping
2024-06-22,AT&T,-157.7,Utilities
2024-06-23,Taco Bell,-58.94,Dining
2024-06-25,Wegmans,-195.61,Groceries
2024-06-25,Spotify,-97.44,Entertainment
2024-06-28,Hilton,-132.8,Travel
2024-06-29,KFC,-36.6,Dining
2024-06-30,Car Wash,-223.05,Transportation
2024-06-30,Vacation Rental,-1469.01,Travel
2024-07-03,Netflix,-104.9,Entertainment
2024-07-04,Moving Service,-1703.42,Housing
2024-07-06,Gas Station,-222.6,Transportation
2024-07-13,Chick-fil-A,-18.41,Dining
2024-07-15,Starbucks,-73.67,Dining
2024-07-17,Jiffy Lube,-53.61,Transportation
2024-07-19,Delta Airlines,-921.87,Travel
2024-07-24,Panera Bread,-13.57,Dining
2024-07-25,Car Wash,-18.7,Transportation
2024-07-26,Chevron,-75.23,Transportation
2024-07-26,Kindle Unlimited,-17.95,Subscriptions
2024-07-27,Tidal,-143.84,Entertainment
2024-07-27,Peloton,-194.17,Fitness
2024-07-31,Chick-fil-A,-37.85,Dining
2024-07-31,Car Repair,-74.91,Transportation
2024-08-01,McDonald's,-12.73,Dining
2024-08-02,Publix,-50.01,Groceries
2024-08-02,Domino's Pizza,-61.69,Dining
2024-08-02,Bed Bath & Beyond,-58.68,Shopping
2024-08-04,Rent Payment,-2612.4,Housing
2024-08-06,Gap,-94.31,Shopping
2024-08-06,Apple TV+,-21.14,Entertainment
2024-08-07,Panda Express,-13.92,Dining
2024-08-09,Taxi Service,-77.07,Transportation
2024-08-09,Phone Bill,-265.32,Utilities
2024-08-10,Macy's,-248.62,Shopping
2024-08-11,PG&E,-245.67,Utilities
2024-08-14,Jiffy Lube,-208.92,Transportation
2024-08-16,Dave & Buster's,-122.02,Entertainment
2024-08-19,Michaels,-186.8,Shopping
2024-08-20,Disney+,-21.47,Entertainment
2024-08-20,Gym Membership,-176.25,Fitness
2024-08-21,Ulta Beauty,-252.75,Shopping
2024-08-24,Dunkin' Donuts,-16.38,Dining
2024-08-24,Walmart,-229.49,Shopping
2024-08-24,Walmart,-274.1,Shopping
2024-08-25,Expedia,-123.44,Travel
2024-08-26,Macy's,-107.0,Shopping
2024-08-27,Wayfair,-125.07,Shopping
2024-08-29,Michaels,-41.41,Shopping
2024-08-30,Local Restaurant,-74.94,Dining
2024-08-30,Gap,-265.55,Shopping
2024-09-01,VRBO,-1073.46,Travel
2024-09-05,VRBO,-165.6,Travel
2024-09-06,Dunkin' Donuts,-12.92,Dining
2024-09-06,PlayStation Plus,-29.16,Subscriptions
